RK,OpenToClose
0.000542762,0.028648
0.000789972,-0.053348
0.000371069,-0.020834
0.000375567,-0.039738
0.000251376,0.0036536
0.000177766,0.0058039
0.000271444,0.0059372
0.000602432,-0.063499
0.000834817,0.0010451
0.000247421,0.0015907
0.000201983,-0.024052
0.000357642,0.014874
0.000558621,-0.030375
0.000306644,-0.0052679
0.001077597,0.042371
0.001289577,0.022181
0.000414315,-0.0054928
0.000640931,-0.023214
0.000219467,0.014497
0.000407484,-0.0056881
0.000452911,-0.00090079
0.000152893,0.0039788
0.000106952,-0.011001
0.000240816,-0.012765
0.0003121,0.024822
0.000184676,0.037576
0.000191058,-0.026004
0.000217007,-0.0022051
0.000135108,-0.0088712
0.000377029,-0.012953
0.000132506,-0.0039539
0.000241991,0.015675
0.000177637,0.028155
0.000188903,-0.0042626
0.000206439,0.014419
0.000175631,-0.0093063
7.53E-05,-0.017146
0.000350254,-0.043536
0.000483032,0.017253
0.000672434,0.011716
0.000321509,-0.020989
0.000210627,-0.056351
0.000336891,0.015305
0.000153438,-0.011472
0.000149837,0.0028289
0.000180876,-0.010212
0.000168474,0.00096937
0.000221713,-0.023164
0.000663106,0.026268
0.000246965,0.0023657
0.000168593,-0.0055071
0.000247727,0.011987
0.000295955,0.054033
0.000475151,0.02504
0.000186546,0.0021668
0.000263952,0.026907
0.000326243,-0.020601
0.000223804,0.014391
0.00038901,-0.0086497
0.00033293,0.0034294
0.00047738,-0.011589
0.000260397,0.010782
0.000232959,0.015115
0.000938752,0.031489
0.000195632,-0.013929
0.00019109,0.0060115
8.98E-05,0.020166
0.000263881,-0.010414
0.00020724,-0.00025678
0.00019333,0.00014201
8.28E-05,-0.0029564
0.000273382,-0.024227
0.001824619,-0.093148
0.000355126,-0.015338
0.00039156,0.027346
0.000214712,-0.016
0.000126846,-0.0059952
0.000255119,-0.0017457
0.000303033,0.026016
0.000191498,0.0039616
0.000155332,-0.00058644
0.000242019,-0.0026426
0.000552907,-0.0027107
0.000441835,0.0088896
0.000173291,-0.005654
0.000186314,0.0042548
0.000385467,-0.0052013
0.000179223,-0.00043525
0.000148609,-0.0097062
0.000252741,0.008063
0.000194163,-0.0066069
0.000188289,-0.008539
0.000245856,-0.0010589
0.000212418,0.0055766
0.000173845,0.0038974
0.000175987,0.025468
0.000173815,0.021116
