"","location","scale","skewness","shape"
"T+50",0.000502949009167102,0.00178043863197811,1.37665942500759,4.7342453274068
"T+51",0.000851616129698993,0.00163905845272779,1.352369626422,4.66955884459698
"T+52",0.000900145851846708,0.00150537891753186,1.35299671031643,4.5809996729581
"T+53",0.00069526125382843,0.00143854507711115,1.37851946475428,4.53325081752423
"T+54",0.000829016827704575,0.00133006103711532,1.372805649237,4.48609673616576
"T+55",0.00045520753730893,0.00131390013424388,1.39876965762283,4.4714114734282
"T+56",0.000857793215842626,0.00122868437869884,1.38312813083914,4.45487869486978
"T+57",0.00138125686554706,0.0011721514296619,1.35868102311469,4.45637495160233
"T+58",3.28413816473281e-05,0.0013907742915002,1.41139297150905,4.53790843662283
"T+59",0.000605516704682527,0.00132524110684936,1.39352772966007,4.53643701336155
"T+60",0.000879069434555877,0.00123176192184393,1.38196289231425,4.49355169371582
"T+61",0.00101444489661232,0.00115441969209737,1.37672197120934,4.45733134512129
"T+62",0.00215679897652554,0.00144609944196575,1.34814091737325,4.65294056831449
"T+63",0.00135898588231037,0.00152744446049669,1.40253155493603,4.65866553361202
"T+64",0.00133556873965453,0.00141654302168141,1.40216775528482,4.5719292481254
"T+65",0.000372302216175676,0.00158432713047945,1.4273286728731,4.62359122638958
"T+66",0.00085262977229452,0.00149165770869295,1.41373418713015,4.60683145252472
"T+67",0.0010859185609418,0.00137166312305135,1.40407531689384,4.54354050545296
"T+68",0.00150414670230174,0.00128924595214524,1.38680208090114,4.52245127345584
"T+69",0.000971207272968812,0.00129914696597673,1.41026851373105,4.50765814432828
"T+70",0.00146674829224097,0.00123395957863313,1.39329543068173,4.50101307876453
"T+71",-2.52336802269385e-05,0.00154936317430815,1.42317278203904,4.62694267142184
"T+72",0.000625533162683608,0.00152614324323507,1.40631632866948,4.66948512685043
"T+73",0.000940931093598148,0.00140709065041416,1.39289341042504,4.59951782004984
"T+74",0.00095309169919493,0.00131355965486885,1.39319713910416,4.53194344720526
"T+75",0.00158556741911054,0.00128741645046755,1.36696166838309,4.55629319638187
"T+76",0.00164759834224343,0.00343168169385021,1.45261432829963,4.00235495332667
"T+77",0.00169485034760701,0.00292722783007953,1.44677612746383,4.00397223642057
"T+78",0.00159878536942084,0.00259429661257341,1.44500280210738,4.00645371276871
"T+79",0.00142881319322322,0.00236990123725077,1.44531642210275,4.01012319734252
"T+80",0.00132188358580854,0.00214965233944059,1.44418432143992,4.01534899479896
"T+81",0.00126648084310729,0.0019463540132333,1.44198925758114,4.02252438564251
"T+82",0.000880802225781445,0.0019083401217342,1.44618532457141,4.03215912184064
"T+83",0.000992571714637916,0.00171601710003693,1.44112623892489,4.04431280921777
"T+84",0.00102901652171495,0.00156811539654443,1.43753653236365,4.05924215397831
"T+85",0.00131876517937076,0.00143606239281878,1.42892228095692,4.07717959708379
"T+86",0.000165085737157659,0.00167980249861453,1.4423915144038,4.10214778352
"T+87",0.000647339634614821,0.00156321495596461,1.43208954836051,4.12706226441846
"T+88",0.00107253323290957,0.00145028190480656,1.4204892141877,4.15312041670319
"T+89",0.00106717865007276,0.00135141745742546,1.41892322770121,4.17642928773028
"T+90",0.00137596196891206,0.00125386323009735,1.40824160656147,4.20047251428935
"T+91",0.00116758904457584,0.00120830543122121,1.4140438396574,4.22309823802421
"T+92",0.00160910019718671,0.00114017019787482,1.4000209227947,4.24709238378675
"T+93",0.000136521612619465,0.00137146494841512,1.42778738154568,4.3038623519917
"T+94",0.00079114683054753,0.0013266857010839,1.41299983114125,4.33757508901443
"T+95",0.000615949576336576,0.00127552854854457,1.41827934072457,4.34300000351465
"T+96",0.000742260952521124,0.00119222043371403,1.41388062597264,4.34218239193393
"T+97",0.00101234742621805,0.00111655963519385,1.40526628425756,4.34378041018712
"T+98",0.00130530695857221,0.0010521609690992,1.39517131998672,4.3459356527678
"T+99",-0.000976774456083656,0.00160235052561956,1.4111324653344,4.51218335695846
"T+100",-9.99472736431173e-07,0.00219171349952546,1.39948914651641,4.80070928806417
"T+101",0.000492619787596705,0.00213352598971863,1.37414156033296,4.86651534867134
"T+102",0.000719809256364328,0.00191365559739235,1.35529085858328,4.73820346211627
"T+103",0.000948802115333069,0.00173226040636316,1.33308835033134,4.64765620737776
"T+104",0.00098034406888077,0.00158489383570901,1.33611481468262,4.56727103465419
"T+105",0.00105395383856928,0.00145691885245921,1.33347439947539,4.51155763177298
"T+106",0.00073893012784022,0.00141483545485936,1.37478862920277,4.4887414997514
"T+107",0.000951813153744165,0.00130797050363376,1.3633638888998,4.45718462610447
"T+108",0.000763154373015104,0.00125728823829299,1.38199997592032,4.43824791315084
"T+109",0.000894887843371751,0.0011767041039173,1.37731813392498,4.41655667039772
"T+110",0.000928016662947512,0.00111446330365085,1.37852667482658,4.40057992593259
"T+111",0.000396970706770492,0.00112983332034439,1.40468005627423,4.40625735069946
