"","location","scale"
"T+66",0.00114600969902351,3.49022698571536e-05
"T+67",0.00114537657564381,3.49022698023252e-05
"T+68",0.00116047142196818,3.49022696105184e-05
"T+69",0.00115816863054117,3.49022695863217e-05
"T+70",0.00116484488596392,3.49022695075973e-05
"T+71",0.00115036536851312,3.4902269728308e-05
"T+72",0.00114536155382261,3.49022697848063e-05
"T+73",0.00114259329748997,3.49022698191515e-05
"T+74",0.00113744661338611,3.49022699316719e-05
"T+75",0.00116164163583131,3.49022696846799e-05
"T+76",0.00249969316753456,3.49033470389067e-05
"T+77",0.00179191675364051,3.49028095560144e-05
"T+78",0.00144132860423235,3.49025406362901e-05
"T+79",0.00127582139473132,3.49024057173541e-05
"T+80",0.00119771310488638,3.49023380806519e-05
"T+81",0.00116197467840318,3.49023041517835e-05
"T+82",0.00114083970811965,3.49022872961614e-05
"T+83",0.00113427581392094,3.49022787367713e-05
"T+84",0.00113177386403951,3.49022744337142e-05
"T+85",0.0011456185197537,3.49022719760049e-05
"T+86",0.00113619650543017,3.49022710910895e-05
"T+87",0.00113233507025287,3.49022706227361e-05
"T+88",0.00114116100017212,3.49022701367272e-05
"T+89",0.00113912836904388,3.49022700277007e-05
"T+90",0.00115068638251323,3.49022697587567e-05
"T+91",0.00115323929490118,3.49022696609306e-05
"T+92",0.00116422334571903,3.49022695400704e-05
"T+93",0.00115884891302598,3.49022695678463e-05
"T+94",0.00114654869529267,3.49022697796754e-05
"T+95",0.00113306869704216,3.49022701121614e-05
"T+96",0.00112759079369538,3.49022702347278e-05
"T+97",0.00113383400574731,3.49022700412156e-05
"T+98",0.00114580480074658,3.49022697895455e-05
"T+99",0.00113525228254825,3.49022700306718e-05
"T+100",0.00116496522384037,3.49022697680784e-05
"T+101",0.00116445326885849,3.49022696214133e-05
"T+102",0.0011468703939935,3.49022698758054e-05
"T+103",0.00114534189049157,3.49022698211085e-05
"T+104",0.00113906276828327,3.49022699260027e-05
"T+105",0.00114038678861215,3.49022698685581e-05
"T+106",0.00113620544556796,3.49022699601977e-05
"T+107",0.00113696648956173,3.49022699316904e-05
"T+108",0.00113461936535082,3.4902269988324e-05
"T+109",0.00113415598987275,3.49022699973115e-05
"T+110",0.00113579247218246,3.49022699538926e-05
"T+111",0.0011334468365197,3.49022700158234e-05
"T+112",0.00113646445204743,3.49022699386306e-05
"T+113",0.00112947388093244,3.49022701417162e-05
"T+114",0.00121256495647993,3.49022718993357e-05
"T+115",0.00116616919412314,3.49022711687292e-05
"T+116",0.00115079990779392,3.49022705646981e-05
"T+117",0.00114147122470671,3.49022703066234e-05
"T+118",0.00114218299981409,3.4902270046117e-05
"T+119",0.00115618694573253,3.49022697402546e-05
"T+120",0.00115658092591732,3.49022696440132e-05
"T+121",0.00114688904679113,3.49022697800921e-05
"T+122",0.00114325196504756,3.49022698192231e-05
"T+123",0.00113568271174861,3.49022699922186e-05
"T+124",0.00113623932872273,3.49022699591644e-05
"T+125",0.00113834770104789,3.49022698991186e-05
"T+126",0.00113041340671263,3.49022701220308e-05
"T+127",0.00112781248300727,3.49022701886986e-05
"T+128",0.00113177330999928,3.49022700707927e-05
"T+129",0.001143685431908,3.49022698182511e-05
"T+130",0.00113880116284013,3.4902269909279e-05
"T+131",0.0011467424294634,3.49022697437638e-05
"T+132",0.00114276913048704,3.49022698106529e-05
"T+133",0.00113623129564591,3.49022699644692e-05
"T+134",0.00114174254747371,3.49022698317716e-05
"T+135",0.00113524716323123,3.49022699889218e-05
"T+136",0.00113045130213051,3.4902270115083e-05
"T+137",0.00113034966531225,3.49022701086287e-05
"T+138",0.00113543666846782,3.49022699730855e-05
"T+139",0.00118862653171015,3.4902270321825e-05
"T+140",0.00116462418550722,3.49022700785746e-05
"T+141",0.00114733459829434,3.49022700933127e-05
"T+142",0.00113869495012941,3.49022701005324e-05
"T+143",0.0011347650619526,3.49022700929268e-05
"T+144",0.00113261187475123,3.49022700945152e-05
"T+145",0.00113029361943385,3.49022701319517e-05
"T+146",0.00113444383855646,3.49022700071417e-05
"T+147",0.00112674192730303,3.49022702356452e-05
"T+148",0.00112970433698188,3.49022701348711e-05
"T+149",0.00113247736575463,3.49022700500922e-05
"T+150",0.0011318793951712,3.49022700613723e-05
"T+151",0.00113107264837689,3.49022700815153e-05
"T+152",0.00112736509871718,3.49022701936342e-05
"T+153",0.001126079411651,3.49022702312019e-05
"T+154",0.00112535507450992,3.49022702526143e-05
"T+155",0.00112496523833267,3.49022702642147e-05
"T+156",0.00113034874922051,3.49022701085747e-05
"T+157",0.00112741498194504,3.49022701937192e-05
"T+158",0.00112584190950005,3.49022702397383e-05
"T+159",0.00113303746357603,3.4902270041941e-05
"T+160",0.0011319989932578,3.49022700618456e-05
