"","location","scale","skewness","shape"
"T+1",0.00097923650996272,0.00100229259899511,0.977936281865751,4.01246536287184
"T+2",-0.000324837095019098,0.000864610947802466,0.999608180999892,4.01402024455593
"T+3",0.00165118196196673,0.00130454963478057,1.01165021731011,4.01591392635658
"T+4",0.000498198253159029,0.00103230750147687,1.01837149607851,4.01784922415116
"T+5",0.000656005106346564,0.000755177481630614,1.00818940677245,4.01973812119593
"T+6",0.00011910426229298,0.000653873028297639,1.01069192185084,4.02178012169474
"T+7",0.00242170244989462,0.000749560191575844,0.995177475267138,4.02434664899834
"T+8",0.000181259118039586,0.0012513727587466,0.982806134864719,4.02752562495776
"T+9",0.000651549269879768,0.000852474813837282,0.982101435105757,4.03009681657028
"T+10",0.00199649275963154,0.000769147109222784,0.977307052139119,4.03312660161951
"T+11",-0.000220418433791575,0.00119477155435502,0.977573535417928,4.03755284502882
"T+12",0.00101307595013772,0.000982012791241778,0.974879631286767,4.04149529451206
"T+13",-0.000352963926710103,0.000866193662435468,0.997712641870746,4.04567524183579
"T+14",0.00163551883032755,0.000958679593149861,0.990973742579529,4.05124441040457
"T+15",0.00299228174570728,0.000862043908279972,0.982606865390214,4.05620840708322
"T+16",0.00494859927026648,0.0011027066242845,0.989627449852041,4.06410320277764
"T+17",0.00333763981283834,0.00158487102526724,0.975818747326213,4.07258357576037
"T+18",0.00216410479876872,0.00128727321634223,0.993981148049621,4.08172967041231
"T+19",0.00135936025685272,0.00090578472137533,1.00771949761139,4.08674052383646
"T+20",0.00111379814072729,0.000708794523483228,1.00743943608715,4.08986652302095
"T+21",0.000698223232584012,0.000629116521999763,1.00856137151424,4.09300487360311
"T+22",0.00310209236169494,0.000748004990465669,0.994437574642215,4.10311890050259
"T+23",0.000792450363427273,0.00123916575442795,0.983428148428866,4.12004924242261
"T+24",0.00139465074933256,0.000867838894402092,0.980463398441534,4.12400425033401
"T+25",0.000181094932296664,0.000755667989004526,1.00045406975312,4.13028594989073
"T+26",0.0011326579596876,0.000671881695348231,0.990961434633697,4.13357018083169
"T+27",-0.000983287082613934,0.000740070689137779,1.00637725154985,4.14617411362761
"T+28",0.00126087902568467,0.0012642166476378,1.01889791890423,4.17257938929614
"T+29",0.000432813631779705,0.000913485738334899,1.02217798862153,4.17835668583365
"T+30",0.000766801358256783,0.000713514545205221,1.00837980749706,4.17552547582836
"T+31",-0.00112871140165876,0.000747881536808184,1.01655673918542,4.18993710499763
"T+32",0.00122157774251011,0.00115631041896725,1.01689903467709,4.23356607531652
"T+33",0.000195741655634463,0.000902777893752708,1.02146755377543,4.24334137972577
"T+34",0.00158205717695753,0.000814440107993807,1.00084616430498,4.25823936541197
"T+35",-0.000573279731790102,0.000998479281883136,1.00468200827706,4.31753637910774
"T+36",0.00123289948704394,0.00122926736438233,1.00448850305321,4.41514302086879
"T+37",0.000776724933913077,0.00084323448720057,1.01002354274202,4.38004400904807
"T+38",0.000638026641970166,0.000682656976332874,1.00760907645227,4.34257059961688
"T+39",0.000793855715378954,0.000613860064980899,1.00266332222466,4.31285320007525
"T+40",-0.000741943435144101,0.000629566642622141,1.01256063873091,4.31106528127761
"T+41",0.00174261011323552,0.00123283363550815,1.02647071149237,4.37555613436896
"T+42",0.000732151400587513,0.000941892886971801,1.0267476115992,4.38825419251299
"T+43",0.000411579230749258,0.000727246122594257,1.01992716348389,4.3516878651641
"T+44",0.00146812006977003,0.00066464408656401,1.00194338717492,4.33747219657553
"T+45",-0.00118075099534534,0.0010788921142025,0.994460147461226,4.44896356485333
"T+46",0.00053644956879885,0.00125698296756386,0.997572159645824,4.61769801442199
"T+47",0.000571127557142388,0.000832484404080776,0.997986860782215,4.51963886977444
"T+48",0.00113460686059298,0.000690587318838831,0.992024232568566,4.46036224990241
"T+49",-0.00108839282942109,0.00080621302905344,1.00480446408104,4.54875283727842
"T+50",0.001148791856727,0.00113996845123426,1.00638751797576,4.7918479384888
"T+51",0.000218067266906376,0.000883164452602196,1.01475669509903,4.77555179155881
"T+52",0.000952902450706825,0.000723193228341521,1.00010241115747,4.67537673666546
"T+53",-0.0010783144152999,0.000807731192647915,1.00982960425293,4.80740967019862
"T+54",0.0011259602452248,0.00122325492665693,1.01345392519747,5.24692134259019
"T+55",0.000157373473163946,0.000954143714423454,1.01849421964011,5.30294393791348
"T+56",0.000685310053971979,0.000741059994263798,1.00386523296645,5.04785775125636
"T+57",0.000273943934026239,0.000644984041580457,1.006957837789,4.83468535752977
"T+58",0.00198035291749156,0.000673937497270239,0.992904576005768,4.83940373877262
"T+59",-0.000444242015604018,0.00131003045442178,0.975965665810067,5.09646175569591
"T+60",0.000437448436749853,0.000964103357978632,0.974834237192908,5.09169483461587
"T+61",0.00055036365707524,0.00073012350986636,0.983765281758224,4.85089580299149
"T+62",0.00293581865530956,0.00122040553147262,1.00233250537926,5.31533529032789
"T+63",0.00141658948033561,0.00133304301494342,1.00089905825705,6.16167239665217
"T+64",0.000843557712064926,0.000908478784462115,1.00954038159908,5.84527126363111
"T+65",0.00059243704229215,0.000711626671709212,1.00903468550031,5.38741296723611
"T+66",0.00120722358830872,0.000638064497593613,0.998830121940265,5.10012794441666
"T+67",-0.00112452068526124,0.000778804816528761,1.0079917124111,5.41450705046194
"T+68",0.00112971050024992,0.00136659182123153,1.02033344627746,6.09409564822684
"T+69",0.000773166357392899,0.000889426510630959,1.01821887360924,5.6383265628406
"T+70",0.00102174943419263,0.000703267982454853,1.0069150993364,5.24024650536008
"T+71",-0.000260674403561,0.000677229887642833,1.01427306395866,5.13925077874486
"T+72",0.00219539510484974,0.000913300069299403,1.00460647484938,5.72666987368339
"T+73",0.00020179066172977,0.00128728223337509,0.996190967891028,6.976989398461
"T+74",0.00054499786411546,0.000859836833846751,0.991647831366201,6.31996153926298
"T+75",0.00104964598987992,0.000703456973491592,0.988770726493739,5.80444655499829
"T+76",0.00344207516753619,0.00100169158339875,0.993427496016591,7.02558162420214
"T+77",0.00152120504559029,0.00165104775376665,0.978609767894163,8.09660832582268
"T+78",0.000927395907296735,0.0010656199866344,0.99727406544086,8.00777926409133
"T+79",0.000198404337111386,0.000827447607430052,1.00747171532789,7.6180033636137
"T+80",0.000712164989615148,0.000688978947576737,0.998308222124885,6.84900194590042
"T+81",-0.000429570295497024,0.000664852124662788,1.00839095252932,6.54379821376333
"T+82",0.00181598375651522,0.000826950715150318,0.998232720212959,7.59307371749389
"T+83",-0.000370728105553977,0.00124611336018465,0.99254774018744,9.90787506807573
"T+84",0.000178601029151171,0.000874963307627519,0.987690187839908,9.18269720932625
"T+85",0.00122889322328142,0.000778848403138299,0.983531156501903,9.05815837611342
"T+86",-0.000619203158318908,0.000909001188906541,0.996190872829387,10.8266830745296
"T+87",0.000858787940679037,0.000920679596060511,0.990649929452271,12.1499097849025
"T+88",0.000549696515843301,0.00071991749190968,0.999021594522095,10.8529403262194
"T+89",0.000393363082843305,0.000631127460756389,1.0014614016305,9.53575920434482
"T+90",0.00168824549461628,0.000647284671828491,0.991871048570597,9.22099601644103
"T+91",-0.00100227164354296,0.00103710382338517,0.992269108324507,11.9596874126256
"T+92",0.000799853912968267,0.00138365226629739,1.00083647318605,14.8037311557333
"T+93",0.000734957201006959,0.000874160080092715,1.00188841015506,13.3087822420907
"T+94",0.000485341179960851,0.000699022140286781,1.00461951348246,11.9179974663808
"T+95",-9.90314663055044e-05,0.000636850214849613,1.00870628928468,10.7895159175421
"T+96",0.00103027787325495,0.000635299178308361,0.996734302420411,10.2072709627099
"T+97",-0.000495898590395971,0.000677932189499313,1.00720987913135,10.3134882169304
"T+98",0.00211862849210212,0.00108910546762459,1.00817149383432,13.1514064913605
"T+99",0.000472423307313614,0.00133014545863805,1.00230646797828,15.9174293580667
"T+100",0.00115351080648837,0.000974908527886869,0.992862514592831,15.849500369252
"T+101",0.000941440372103248,0.000736577377219935,0.998947372712619,14.3929637102179
"T+102",-0.000169598978206024,0.000706404398652335,1.00792220850444,14.0755437689105
"T+103",0.00117652725808703,0.000714266567151261,0.996036795851622,14.1260650967969
"T+104",-0.000335477397962795,0.000753374771365249,1.00597718475073,14.6596276819243
"T+105",0.00141129174690088,0.000849954497279777,0.997053098489189,16.0242625725379
"T+106",-5.81684543741656e-05,0.00087937019144034,1.0052639572541,17.0815664446429
"T+107",0.000953081075932483,0.000785092981566875,0.994665475713089,16.8870184468776
"T+108",0.000125053387816607,0.000702124087026015,1.00473493059503,16.1144037177576
"T+109",0.000905017876650561,0.000650015001896528,0.995713621876427,15.1106917763325
"T+110",-0.000475910298430807,0.00067985680783073,1.00610442993623,15.0439816997116
"T+111",0.00181612455849246,0.000925942655197011,1.00110234123345,17.2531375850169
"T+112",0.000391470481125968,0.000939601164036581,1.00698859402191,18.3951714255744
"T+113",0.000434096249964878,0.000719699073714881,1.00353647553533,16.8905795966953
"T+114",0.000977221011021822,0.000644508371741443,0.996395638683897,15.6419983273244
"T+115",-0.000739176499735765,0.000727613250960189,1.00584258488459,16.2738953827215
"T+116",0.00173867132461796,0.00114164481455743,1.00743590544857,18.6792265372503
"T+117",0.000628410227894652,0.00101607551901079,1.01111714590846,19.5011136199935
"T+118",0.000672623469689823,0.000748495384301567,1.0056233090614,18.0145679161484
"T+119",0.00113460750076655,0.000654590220950542,0.998021830190479,16.7229077047208
"T+120",-0.000239308812915751,0.00068245960798344,1.0073170675966,16.6086064801323
"T+121",0.00152240249222089,0.000773964038582105,0.997007048376459,17.487569954551
"T+122",-0.000188135132941863,0.000871197432286876,1.00430605180085,18.7178043432871
"T+123",0.000727808951051407,0.000762000051665301,0.994315681523366,18.2275356148924
"T+124",0.000329350031080589,0.000657341685343734,1.00144208667791,16.883572863676
"T+125",0.000984183179759099,0.00061894599917641,0.994789030477674,15.6881268173431
"T+126",-0.00110764408054097,0.000775037637133879,1.00325415830332,17.029466416697
"T+127",0.00137400749936002,0.00128902279024973,1.00969938314901,19.1593849976663
"T+128",0.00072325311947779,0.000935023540142932,1.01377388493264,18.7208746158649
"T+129",0.000433674887087,0.000726789258840612,1.01213851901005,17.3458550741198
"T+130",0.00046268542540511,0.000632918713276017,1.00676637138779,15.8305883974191
"T+131",0.000569484548464561,0.000590921379024232,1.00280760056391,14.3208065082725
"T+132",0.000170551737066022,0.000575783546991214,1.00548484691773,12.9251512247901
"T+133",0.000719031929787136,0.000570852689945503,0.998468544132897,11.6245178721414
"T+134",0.000445937359265905,0.000562832400141219,1.00174473277289,10.2701224279552
"T+135",0.00026437791162377,0.000557923262310104,1.00289100296061,9.00018307770918
"T+136",0.00100825033740123,0.000566693101438466,0.995683897105643,8.05365818821831
"T+137",-0.00156520367969465,0.000778008778375277,1.00320968057856,9.65660528671458
"T+138",0.00101102961493283,0.00164993800269652,1.02424014191381,9.81573401128825
"T+139",0.00130713614270451,0.000988552681045075,1.00701171671801,8.95262715616818
"T+140",0.000362034849775052,0.000827642095136112,1.01327565860378,8.8384637904838
"T+141",0.000651202406124175,0.000679551417527249,1.0040002092206,7.77853843250781
"T+142",-0.000596650771794476,0.000673319243792884,1.01169042035939,7.53952251802691
"T+143",0.00196968307624532,0.00102983827590042,1.00870427630901,9.82875065006408
"T+144",0.000240310109395637,0.00128677014100595,1.0026397065348,12.6404163251581
"T+145",0.000304754212461518,0.000842514296347741,1.0005416332243,11.1998480791361
"T+146",0.00035903728469967,0.000681545925216404,0.999766055892534,9.8375735338043
