CloseToOpen,RV
0.028648,0.00062007
-0.053348,0.00074024
-0.020834,0.00028186
-0.039738,0.00028759
0.0036536,0.00019668
0.0058039,0.0001127
0.0059372,0.00024686
-0.063499,0.0012868
0.0010451,0.0039032
0.0015907,0.00012749
-0.024052,0.00010452
0.014874,0.00026384
-0.030375,0.00066288
-0.0052679,0.00023527
0.042371,0.00076821
0.022181,0.0030146
-0.0054928,0.00033214
-0.023214,0.0018854
0.014497,0.00011735
-0.0056881,0.00021005
-0.00090079,0.00023709
0.0039788,6.85E-05
-0.011001,7.49E-05
-0.012765,0.00037135
0.024822,0.00024273
0.037576,0.00076283
-0.026004,0.00012886
-0.0022051,0.00025749
-0.0088712,5.56E-05
-0.012953,0.00057121
-0.0039539,8.21E-05
0.015675,0.00010778
0.028155,0.00019093
-0.0042626,0.00016384
0.014419,0.00018582
-0.0093063,0.00014333
-0.017146,0.00012803
-0.043536,0.00086887
0.017253,0.00044385
0.011716,0.00048034
-0.020989,0.00019017
-0.056351,0.00057585
0.015305,0.00048818
-0.011472,0.00017534
0.0028289,0.00023307
-0.010212,0.00023001
0.00096937,0.00023836
-0.023164,0.00023541
0.026268,0.00055003
0.0023657,0.00022424
-0.0055071,0.00014545
0.011987,0.00029851
0.054033,0.00037865
0.02504,0.00035712
0.0021668,0.00014653
0.026907,0.00017341
-0.020601,0.00028017
0.014391,0.00012646
-0.0086497,0.00029438
0.0034294,0.00025816
-0.011589,0.00029318
0.010782,0.00030719
0.015115,0.00027546
0.031489,0.00059945
-0.013929,0.00021299
0.0060115,0.00011597
0.020166,0.00020226
-0.010414,0.00023125
-0.00025678,0.00028502
0.00014201,0.00010481
-0.0029564,0.00012681
-0.024227,0.00016959
-0.093148,0.017294
-0.015338,0.0015289
0.027346,0.00074851
-0.016,0.0003035
-0.0059952,0.00011294
-0.0017457,0.00028814
0.026016,0.00016668
0.0039616,9.24E-05
-0.00058644,9.18E-05
-0.0026426,0.00028766
-0.0027107,0.00090135
0.0088896,0.00039724
-0.005654,0.00019091
0.0042548,0.00012717
-0.0052013,0.00028296
-0.00043525,0.00011947
-0.0097062,0.00011649
0.008063,0.00022219
-0.0066069,0.00015973
-0.008539,0.0002049
-0.0010589,0.00023271
0.0055766,9.92E-05
0.0038974,0.00010499
0.025468,0.0001351
0.021116,0.0001649
0.0071312,0.00031323
-0.027069,0.00027032
-0.00037164,0.00020878
-0.029353,0.0011333
0.0070461,0.00025876
-0.0057275,0.00021086
-0.017382,0.00026621
-0.0013301,0.0001851
-0.004006,0.00026508
0.053778,0.0012212
0.058898,0.0029302
-0.021276,0.00087109
-0.067109,0.0028983
-0.090025,0.0039892
-0.031513,0.0017712
-0.015047,0.00019562
0.031352,0.0025849
0.014157,0.00042137
-0.0044133,0.0002402
-0.020304,0.00024483
0.02324,0.0007272
-0.017602,0.00028881
-0.0014411,0.00041836
-0.0052313,0.00043473
0.061912,0.001106
-0.044702,0.00056491
-0.023296,0.00035396
0.0043021,0.0004659
0.013841,0.00021108
0.0017282,0.0001734
0.026652,0.00017649
0.0051703,0.00029152
-0.015274,0.00043936
-0.0055682,0.00017801
0.0036486,0.0002413
0.0025082,0.00033634
-0.0035689,0.00016032
0.0055596,0.00017728
-0.0023971,0.00018717
-0.0077954,0.00018278
-0.015212,0.00017167
-0.1334,0.011227
-0.06571,0.004305
0.035847,0.0014062
0.06022,0.0021475
-0.036135,0.0012377
0.018043,0.00073867
-0.011715,0.00067265
-0.0040551,0.00066182
-0.0031161,0.00028829
-0.031428,0.00041549
0.02304,0.0020094
0.021383,0.00068527
0.032575,0.00088565
-0.012682,0.0051045
0.010366,0.0022478
-0.030162,0.00087048
0.0055863,0.00066562
