 
                                                                                                                                                                                                                                                                
 
SYMBOL        DATE      TIME       PRICE     G127    CORR    COND    EX      SIZE
  AA      20070504     9:30:53    35.0800      0       0      E      N        200
  AA      20070504     9:30:54    35.0800      0       0      @      T        100
  AA      20070504     9:30:54    35.0800      0       0      E      N        200
  AA      20070504     9:30:56    35.0800      0       0      E      N        100
  AA      20070504     9:30:56    35.0800      0       0      E      N        100
  AA      20070504     9:30:57    35.1000      0       0      E      N        100
  AA      20070504     9:31:01    35.1100      0       0      @      T        100
  AA      20070504     9:31:01    35.1100      0       0      E      P        100
  AA      20070504     9:31:02    35.1100      0       0      E      N        100
  AA      20070504     9:31:02    35.1200      0       0      E      N        300
  AA      20070504     9:31:02    35.1100      0       0      @      D        500
  AA      20070504     9:31:02    35.1200      0       0      @      T        100
  AA      20070504     9:31:02    35.1200      0       0      @      T        100
  AA      20070504     9:31:03    35.1300      0       0      E      N        400
  AA      20070504     9:31:03    35.1200      0       0      @      C        100
  AA      20070504     9:31:03    35.1200      0       0      @      C        100
  AA      20070504     9:31:03    35.1200      0       0      E      P        100
  AA      20070504     9:31:03    35.1200      0       0      E      P        100
  AA      20070504     9:31:07    35.1300      0       0      E      N        500
  AA      20070504     9:31:10    35.1300      0       0      @      D        500
  AA      20070504     9:31:11    35.1300      0       0      @      T        100
  AA      20070504     9:31:11    35.1300      0       0      @      T        100
  AA      20070504     9:31:11    35.1300      0       0      @      D        100
  AA      20070504     9:31:11    35.1300      0       0      @      D        100
  AA      20070504     9:31:11    35.1300      0       0      @      D        100
  AA      20070504     9:31:11    35.1300      0       0      E      P        100
  AA      20070504     9:31:11    35.1300      0       0      @      T        100
  AA      20070504     9:31:11    35.1300      0       0      E      N        200
  AA      20070504     9:31:12    35.1200      0       0      E      N        200
  AA      20070504     9:31:12    35.1400      0       0      E      N       1200
  AA      20070504     9:31:12    35.1200      0       0      E      P        100
  AA      20070504     9:31:12    35.1200      0       0      E      P        100
  AA      20070504     9:31:12    35.1400      0       0      @      D        100
  AA      20070504     9:31:12    35.1400      0       0      @      D        100
  AA      20070504     9:31:12    35.1200      0       0      E      N        200
  AA      20070504     9:31:12    35.1200      0       0      E      N        100
  AA      20070504     9:31:12    35.1200      0       0      E      N        100
  AA      20070504     9:31:13    35.1200      0       0      F      N        200
  AA      20070504     9:31:13    35.1200      0       0      @      T        200
  AA      20070504     9:31:13    35.1200      0       0      @      T        100
  AA      20070504     9:31:13    35.1200      0       0      E      P        100
  AA      20070504     9:31:13    35.1200      0       0      E      P        100
