"","location","scale","shape"
"T+129",0.00106200301764727,6.2593732916661e-07,5.93766404965039
"T+130",-0.000131872609453469,8.24224186329852e-07,5.98388175752205
"T+131",0.00113414018556661,1.13665537657262e-06,6.03077715490704
"T+132",0.000414362617904883,1.19567910746381e-06,6.07484461676092
"T+133",0.00038750944668137,1.02749248643766e-06,6.11312065570703
"T+134",0.000717306545520304,9.14814621317843e-07,6.15206984407041
"T+135",0.000201878531792712,8.9486468924943e-07,6.19376382720582
"T+136",0.000360623287794864,7.88242895521834e-07,6.23160058477438
"T+137",0.000366427157595373,7.04785386410919e-07,6.26940504488013
"T+138",0.000645651272732477,6.42631395821544e-07,6.307419071605
"T+139",0.00244423216806212,2.2599763514335e-06,6.30595985929728
"T+140",0.00130172662304748,3.64845966926529e-06,6.3511334777963
"T+141",0.000891474242639028,3.18401519538867e-06,6.39353212962026
"T+142",0.000660608333631377,2.60252699565919e-06,6.43296467004767
"T+143",0.000536157328132477,2.10342158715027e-06,6.47091708484368
"T+144",0.000465304768687856,1.71880037964263e-06,6.50820935143412
"T+145",0.000399433490575911,1.43326268132645e-06,6.54528452991773
"T+146",0.000521029463840952,1.20345019524059e-06,6.58160221137262
"T+147",0.000192626244222287,1.10747625809634e-06,6.62100415954531
"T+148",0.000474232982832892,9.64432786953755e-07,6.65732810690162
"T+149",0.000439116423863409,8.4609616537236e-07,6.69307812927169
"T+150",0.000355260256147924,7.55807560858791e-07,6.72880761412179
"T+151",0.000370271931666943,6.78383649449291e-07,6.76393248494538
"T+152",0.000153546836842376,6.30940783811098e-07,6.80002867965018
"T+153",0.000382366360691431,5.77148512681722e-07,6.83461977153901
"T+154",0.00011013673927231,5.48276090213205e-07,6.87041109492121
"T+155",0.000440523801401241,5.11641777527496e-07,6.90471114303454
"T+156",0.000407797843409796,4.7827217580483e-07,6.93842111134482
"T+157",2.49111897280641e-06,4.70897249797395e-07,6.97421024872283
"T+158",0.000634967256849757,4.62094293308503e-07,7.0094432566669
"T+159",0.000267332619246355,4.4902903729486e-07,7.0437424109508
"T+160",0.00050702702844757,4.25711534504948e-07,7.07618329200995
"T+161",-0.000182812782928296,4.47929514687897e-07,7.11348443647882
"T+162",0.00103127565144854,5.16260591479143e-07,7.15451200740061
"T+163",-0.000205172909423653,6.67033552660565e-07,7.19891918975174
"T+164",0.00141616981644405,1.17434606211109e-06,7.24186813305696
"T+165",0.000375765790841348,1.57377758951354e-06,7.28717542547089
"T+166",0.000315512764350918,1.32650701881116e-06,7.31767738150344
"T+167",0.000316640180358456,1.12784256147409e-06,7.34727974210465
"T+168",0.000520646399408226,9.74651514615732e-07,7.37650358983076
"T+169",0.000140567219694274,9.20475197901562e-07,7.40971695029445
"T+170",0.000702453450495192,8.66780238919203e-07,7.44207413409537
"T+171",6.92968875297051e-05,8.9764367651223e-07,7.47858282558711
"T+172",0.000320879067085796,7.92927615577216e-07,7.50607206037202
"T+173",0.000671680726426017,7.21959736384198e-07,7.53433796897515
"T+174",0.000459101457617804,6.60871011659018e-07,7.5619642775994
"T+175",0.000815843104976815,6.14281140683862e-07,7.58963026833632
"T+176",-0.000237097354985791,7.61264723388072e-07,7.6298455019359
"T+177",0.000709263860112204,8.12061306028933e-07,7.66504326716329
"T+178",0.000109603655665038,8.24718960864487e-07,7.69777452903978
"T+179",0.000447098169916362,7.41700783114593e-07,7.72291449445403
"T+180",2.48295566477449e-05,7.19402934144883e-07,7.7518370218139
"T+181",0.000700978363984509,7.02304840221319e-07,7.78057230412048
"T+182",0.000891786333407401,6.39701089620669e-07,7.80425959142894
"T+183",-0.000170497288954575,7.9685517971335e-07,7.84241409475046
"T+184",0.000726564383412289,8.38470267837941e-07,7.87459850946174
"T+185",-3.77972476056133e-06,9.11027125692705e-07,7.90809283803255
"T+186",0.00033045979942028,8.08988637350132e-07,7.92995490830488
"T+187",0.000778027881503273,7.50767093564568e-07,7.95370271648504
"T+188",0.000904684865033122,6.76538206302332e-07,7.97447871922739
"T+189",3.93532520226499e-05,7.56401958454668e-07,8.00695601750677
"T+190",0.000649562103784531,7.23378842128742e-07,8.03107921275644
"T+191",8.1673058186998e-06,7.49691992512069e-07,8.05939255390205
"T+192",0.000530542605155975,6.99751335899471e-07,8.08100192978684
"T+193",0.000754474397379388,6.37347190816304e-07,8.09998855125231
"T+194",0.00147721383248146,6.70767044439559e-07,8.1274291243739
"T+195",0.00229304659537824,8.08818580329579e-07,8.1607003449879
"T+196",0.000214544243171609,4.08785106008465e-06,8.01234272675374
"T+197",0.000595076960445677,3.46431892955599e-06,8.03961958975712
"T+198",0.000568269510149171,2.67131701165284e-06,8.0591192632994
"T+199",0.000454491692155922,2.16328027182269e-06,8.07992668350484
"T+200",0.000401803347379769,1.7638016134036e-06,8.09931889693264
"T+201",0.00040631358259499,1.45486259323573e-06,8.11769303450298
"T+202",0.00136824186232048,2.10345196176953e-06,8.1537738018644
"T+203",0.00203232329363965,6.72900030284518e-05,6.23789446955708
"T+204",0.0017407755629183,3.83046412687686e-05,6.27589932255215
"T+205",0.00149569331643509,2.33484860182049e-05,6.31421041928411
"T+206",0.00128784051150215,1.50676904620104e-05,6.35264700180886
"T+207",0.00112337298749564,1.0096591149521e-05,6.39063911251322
"T+208",0.000998994549057405,6.9978760800481e-06,6.42815882480695
"T+209",0.000831971170672162,5.1942441099953e-06,6.46683085951831
"T+210",0.00070519999139021,3.9263742590774e-06,6.50480456027166
"T+211",0.000737654624904402,2.97117022611948e-06,6.54133636639733
"T+212",0.000527633241169332,2.45366445501464e-06,6.58028731164831
"T+213",0.000495464005293687,1.96247973889496e-06,6.61670775540165
"T+214",0.000488072258499491,1.60007500157429e-06,6.65271770204745
"T+215",0.000642077277323865,1.33449409337189e-06,6.68856988266751
"T+216",0.00035443844153802,1.1928289004655e-06,6.72658298409526
"T+217",0.000468724339588957,1.01996148108212e-06,6.76164265055647
"T+218",0.000214308895712513,9.26000238279473e-07,6.79861885642763
"T+219",0.000286889219079761,8.13258323245289e-07,6.83315357254458
"T+220",0.000377203100984029,7.23206059985736e-07,6.86735783865261
"T+221",8.14183623363623e-05,6.80422060995208e-07,6.90357093323753
"T+222",0.00056956931456568,6.36359183487216e-07,6.93887296844179
"T+223",0.000121815827763166,6.19363749233281e-07,6.97554456771755
"T+224",0.000789366222770686,6.08690288005745e-07,7.01225683983254
"T+225",-0.000188660529281138,7.21426984199621e-07,7.05587444170973
"T+226",0.000587495575152935,7.16515493509038e-07,7.09318118155633
"T+227",0.000114073095647658,6.99585888611812e-07,7.12930473146423
"T+228",0.000271739436721835,6.31793978013662e-07,7.16069023727401
"T+229",0.000299725977779206,5.77574101061514e-07,7.19184244777774
"T+230",8.16829567087704e-05,5.45474670801724e-07,7.22402996587363
"T+231",0.000359173268789018,5.07172214925714e-07,7.25459506832126
"T+232",1.96316145114242e-05,4.92506784948734e-07,7.28694319345522
"T+233",0.000876024237373541,5.09930066841197e-07,7.32224036562525
"T+234",-0.000171295884088513,6.03539620565766e-07,7.36298632114365
"T+235",0.000693253164121847,6.19014338249422e-07,7.3980816338022
"T+236",-0.000174337383926031,7.01374754332064e-07,7.43730596580601
"T+237",0.000561356305982663,6.88343651647319e-07,7.47009307776183
