"","SYMBOL","DATE","TIME","PRICE","SIZE","G127","CORR","COND","EX"
"871","AA",20070504,"9:39:37",34.99,100,0,0,"E","P"
"881","AA",20070504,"9:39:38",34.97,100,0,0,"E","P"
"911","AA",20070504,"9:39:56",34.94,100,0,0,"E","P"
"919","AA",20070504,"9:40:02",34.95,100,0,0,"E","P"
"926","AA",20070504,"9:40:03",34.95,100,0,0,"E","P"
"956","AA",20070504,"9:40:12",34.94,100,0,0,"E","P"
"1021","AA",20070504,"9:40:37",35.05,100,0,0,"E","P"
"1022","AA",20070504,"9:40:37",35.05,100,0,0,"E","P"
"1035","AA",20070504,"9:40:47",35.02,100,0,0,"E","P"
"1061","AA",20070504,"9:40:51",34.95,100,0,0,"E","P"
"1062","AA",20070504,"9:40:51",34.95,100,0,0,"E","P"
"1063","AA",20070504,"9:40:52",34.96,100,0,0,"E","P"
"1080","AA",20070504,"9:40:54",34.94,100,0,0,"E","P"
"1098","AA",20070504,"9:41:01",34.96,100,0,0,"E","P"
"1105","AA",20070504,"9:41:02",34.96,100,0,0,"E","P"
"1114","AA",20070504,"9:41:23",34.95,100,0,0,"E","P"
"1130","AA",20070504,"9:41:34",34.96,100,0,0,"E","P"
"1131","AA",20070504,"9:41:34",34.96,300,0,0,"E","P"
"1132","AA",20070504,"9:41:34",34.96,100,0,0,"E","P"
"1157","AA",20070504,"9:41:46",35,100,0,0,"E","P"
"1172","AA",20070504,"9:41:55",35.01,100,0,0,"E","P"
"1173","AA",20070504,"9:41:55",35.01,100,0,0,"E","P"
"1181","AA",20070504,"9:42:02",34.97,100,0,0,"E","P"
"1199","AA",20070504,"9:42:13",34.98,100,0,0,"E","P"
"1213","AA",20070504,"9:42:15",34.99,100,0,0,"E","P"
"1223","AA",20070504,"9:42:24",34.99,100,0,0,"E","P"
"1224","AA",20070504,"9:42:24",34.99,100,0,0,"E","P"
"1235","AA",20070504,"9:42:42",35,100,0,0,"E","P"
"1237","AA",20070504,"9:42:48",35,100,0,0,"E","P"
"1248","AA",20070504,"9:42:52",34.99,100,0,0,"E","P"
"1249","AA",20070504,"9:42:52",34.99,100,0,0,"E","P"
"1250","AA",20070504,"9:42:52",34.99,100,0,0,"E","P"
"1251","AA",20070504,"9:42:52",34.99,100,0,0,"E","P"
"1252","AA",20070504,"9:42:52",34.99,100,0,0,"E","P"
"1261","AA",20070504,"9:43:04",34.95,100,0,0,"E","P"
"1281","AA",20070504,"9:43:11",34.96,100,0,0,"E","P"
"1282","AA",20070504,"9:43:11",34.96,100,0,0,"E","P"
"1321","AA",20070504,"9:43:56",34.98,100,0,0,"F","P"
"1349","AA",20070504,"9:44:08",35.03,300,0,0,"E","P"
"1353","AA",20070504,"9:44:10",35.04,100,0,0,"E","P"
"1361","AA",20070504,"9:44:15",35.05,100,0,0,"E","P"
"1362","AA",20070504,"9:44:15",35.05,100,0,0,"E","P"
"1363","AA",20070504,"9:44:15",35.05,100,0,0,"E","P"
"1379","AA",20070504,"9:44:24",35.06,300,0,0,"E","P"
"1385","AA",20070504,"9:44:29",35.07,100,0,0,"E","P"
"1402","AA",20070504,"9:44:40",35.1,100,0,0,"E","P"
"1412","AA",20070504,"9:44:40",35.1,300,0,0,"E","P"
"1413","AA",20070504,"9:44:40",35.1,400,0,0,"E","P"
"1414","AA",20070504,"9:44:40",35.1,100,0,0,"E","P"
"1430","AA",20070504,"9:45:04",35.06,100,0,0,"E","P"
"1431","AA",20070504,"9:45:04",35.06,100,0,0,"E","P"
"1432","AA",20070504,"9:45:05",35.06,100,0,0,"E","P"
"1451","AA",20070504,"9:45:26",35.01,200,0,0,"E","P"
"1452","AA",20070504,"9:45:26",35.01,100,0,0,"E","P"
"1455","AA",20070504,"9:45:27",35.02,100,0,0,"E","P"
"1488","AA",20070504,"9:46:17",35,100,0,0,"E","P"
"1525","AA",20070504,"9:46:28",35.05,100,0,0,"E","P"
"1532","AA",20070504,"9:46:28",35.05,100,0,0,"F","P"
"1559","AA",20070504,"9:46:29",35.02,100,0,0,"E","P"
"1567","AA",20070504,"9:46:29",35.03,200,0,0,"E","P"
"1571","AA",20070504,"9:46:30",35.05,100,0,0,"E","P"
"1572","AA",20070504,"9:46:30",35.05,100,0,0,"E","P"
"1573","AA",20070504,"9:46:30",35.05,100,0,0,"E","P"
"1583","AA",20070504,"9:46:31",35.07,100,0,0,"E","P"
"1584","AA",20070504,"9:46:32",35.08,100,0,0,"E","P"
"1592","AA",20070504,"9:46:32",35.08,100,0,0,"E","P"
"1606","AA",20070504,"9:46:33",35.07,100,0,0,"E","P"
"1607","AA",20070504,"9:46:33",35.07,100,0,0,"E","P"
"1608","AA",20070504,"9:46:33",35.07,100,0,0,"E","P"
"1610","AA",20070504,"9:46:33",35.09,100,0,0,"E","P"
"1616","AA",20070504,"9:46:34",35.07,100,0,0,"E","P"
"1619","AA",20070504,"9:46:34",35.09,100,0,0,"E","P"
"1623","AA",20070504,"9:46:35",35.08,100,0,0,"E","P"
"1636","AA",20070504,"9:46:40",35.07,100,0,0,"E","P"
"1637","AA",20070504,"9:46:40",35.08,100,0,0,"E","P"
"1644","AA",20070504,"9:46:54",35.09,100,0,0,"E","P"
"1658","AA",20070504,"9:47:18",35.08,100,0,0,"E","P"
"1685","AA",20070504,"9:47:32",35.09,100,0,0,"E","P"
"1686","AA",20070504,"9:47:32",35.09,100,0,0,"E","P"
"1687","AA",20070504,"9:47:32",35.09,100,0,0,"E","P"
"1688","AA",20070504,"9:47:32",35.09,100,0,0,"E","P"
"1689","AA",20070504,"9:47:32",35.09,100,0,0,"E","P"
"1690","AA",20070504,"9:47:32",35.09,100,0,0,"E","P"
"1691","AA",20070504,"9:47:32",35.1,100,0,0,"E","P"
"1692","AA",20070504,"9:47:32",35.1,100,0,0,"E","P"
"1693","AA",20070504,"9:47:32",35.1,100,0,0,"E","P"
"1694","AA",20070504,"9:47:33",35.1,100,0,0,"E","P"
"1695","AA",20070504,"9:47:33",35.1,100,0,0,"E","P"
"1696","AA",20070504,"9:47:33",35.1,100,0,0,"E","P"
"1697","AA",20070504,"9:47:33",35.1,100,0,0,"E","P"
"1698","AA",20070504,"9:47:33",35.1,200,0,0,"E","P"
"1699","AA",20070504,"9:47:33",35.1,300,0,0,"E","P"
"1709","AA",20070504,"9:47:33",35.1,200,0,0,"E","P"
"1719","AA",20070504,"9:47:34",35.1,100,0,0,"E","P"
"1720","AA",20070504,"9:47:34",35.1,100,0,0,"E","P"
"1721","AA",20070504,"9:47:34",35.1,300,0,0,"E","P"
"1722","AA",20070504,"9:47:34",35.1,100,0,0,"E","P"
"1723","AA",20070504,"9:47:34",35.1,100,0,0,"E","P"
"1727","AA",20070504,"9:47:34",35.1,200,0,0,"E","P"
"1729","AA",20070504,"9:47:34",35.1,200,0,0,"E","P"
"1733","AA",20070504,"9:47:35",35.1,300,0,0,"E","P"
"1734","AA",20070504,"9:47:35",35.1,300,0,0,"E","P"
"1735","AA",20070504,"9:47:35",35.1,300,0,0,"E","P"
"1736","AA",20070504,"9:47:35",35.1,100,0,0,"E","P"
"1737","AA",20070504,"9:47:35",35.1,200,0,0,"E","P"
"1738","AA",20070504,"9:47:35",35.1,100,0,0,"E","P"
"1739","AA",20070504,"9:47:36",35.1,100,0,0,"E","P"
"1750","AA",20070504,"9:47:39",35.11,100,0,0,"E","P"
"1764","AA",20070504,"9:48:06",35.12,100,0,0,"E","P"
"1765","AA",20070504,"9:48:06",35.12,500,0,0,"E","P"
"1780","AA",20070504,"9:48:09",35.13,100,0,0,"E","P"
